sentiment,text,user
"neutral","@WMDogma @mistermegative @the_moviebob @GreyTheTick I'd never heard of the movie until we got a screener of it for… https://t.co/o9djFtnDrE","ajohnagnello"
"neutral","RT @CriticMishra: Final Score Movie Review.\n\nhttps://t.co/zl2BdlYka5\n\n#critic #moviereview #filmreview #moviecritic #finalscore #finalscore…","TheJQWay"
"neutral","RT @PotterAngel24: My two cents on #GoyoAngBatangHeneral ^_^ \n#moviereview\n#Goyo\n\nhttps://t.co/HT5JQyLRog","RenzyDedios"
"negative","RT @TheWatchAndTalk: Listen to our podcast review of THE LITTLE STRANGER\n\nhttps://t.co/GPKuP8iGSu\n\n#Movie #Podcast #MoviePodcast #Film #Fil…","TheJQWay"
"neutral","RT @BesottedGeekPod: Tune into #podcast 117 for our #JusticeLeague #drink recipes here:\nhttps://t.co/FzcyPMKZno\nOr read about 'em here:\nhtt…","WLImbalance"
"negative","RT @lousnews23: The Green Lantern Movie, Was It Really That Bad? ~ Film Review #Filmreview #Greenlantern #RyanReynolds https://t.co/8MdaC6L…","TheJQWay"
"negative","@NichNew I read a review of that movie that it wasn’t all that life affirming. I’m sorry it brought up all that tra… https://t.co/6zqjctjfzx","LASbauer"
"negative","RT @TheWatchAndTalk: Listen to our podcast review of THE LITTLE STRANGER\n\nhttps://t.co/hpEfHZLDpD\n\n#Movie #Podcast #MoviePodcast #Film #Fil…","TheJQWay"
"negative","RT @OC_Movies: Our reviewer @aDreamofHome spends some time with My Pet Dinosaur, a review - Kids, A Dinosaur And A Small Town - OC Movie Re…","TheJQWay"
"negative","‘Lizzie’ review: Bringing context to a gruesome story https://t.co/l9OPT9wA5N via @amNewYork","denisohareOnFB"
"neutral","RT @rkcpictures: Read what Times of India reviewed the Gujarati Film Lamboo Rastoo.\nRead here: https://t.co/zPZ0FmkeLB \n #RKCMotionpictures…","TheJQWay"
"negative","RT @OC_Movies: [Cargo] Review - Trapped In A Cargo Hold With Just A Phone - OC Movie Reviews https://t.co/vfHxBZpqr1 #MovieReview #FilmRevi…","TheJQWay"
"positive","RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…","gracielovesKN"
"neutral","送给我心中的爱情和理想 (评论: 天盛长歌) https://t.co/2KVJ3LyJ2M https://t.co/t8B4fOdYnl","n50axrIf21sEChU"
"positive","Lady Gaga is really that good, and 4 more things to know about 'A Star is Born' https://t.co/rTkJnVyjKK https://t.co/x1ZuvKYlgh","SteveZeitch"
"positive","I liked a @YouTube video https://t.co/Lr154rHrFe The Predator (2018) - Movie Review","DopeDeDark"
"neutral","review pagtapos nood ng movie, edi wala din 😂🤦‍♀️","heeyliah"
"neutral","RT @AmazingNerdShow: This week we review #TheNun &amp; talk #wwe #HellInACell! We talk the rumored Jordan Peele #Candyman movie &amp; #SpiderManPs4…","MovieDateNight"
"neutral","RT @EdsFilmicForays: #IFeelPretty - #AmySchumer rocks - but does the movie? https://t.co/NkapVqeNCa … … #MichelleWilliams #RoryScovel #Movi…","TheJQWay"
"negative","RT @mrstephen_bcuk: Movie review: Violent 'Predator' sequel has plenty of action but could use a little Arnold :: https://t.co/7SYQDoN5AS h…","TheJQWay"
"positive","RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…","jmdm_kathniel"
"positive","RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…","baldago_liberty"
"negative","RT @lousnews23: The Green Lantern Movie, Was It Really That Bad? The Film Review!! #greenlantern #Filmreview \n\nhttps://t.co/mwwuq20xrY http…","TheJQWay"
"neutral","RT @Reelreviewer: #RosamundPike and #DavidOyelowo star in the #interracial period #romance  #AUintedKingdom, showing on @SkyCinema #Select…","TheJQWay"
"positive","RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…","ksimple143"
"positive","RT @factory_film: WELCOME TO CURIOSITY: @CuriosityMovie now available on VOD in North America on #iTunes : https://t.co/Is1dBDNrCR. WATCH!…","CuriosityMovie"
"positive","New Review from Archer Avenue!\nYou've never been cooler than Luke.\nMovie Review - #CoolHandLuke\nhttps://t.co/dOgWrwT8xe","OlieCoen"
"positive","I liked a @YouTube video https://t.co/9UWrekJN5S WHITE BOY RICK MOVIE REVIEW 2018","charles_leroy"
"positive","I've just posted a new blog: 🎥 Movie in Cinema Κριτική: Η Καλόγρια (The Nun) - (2018)  https://t.co/t1pdrvscni","Maria_ParaskA"
"negative","One of the most stupid decisions regarding movies today is the fact that The Nun is rated R for being “scary”. Fun… https://t.co/Pi30Ufumg2","Movie_Review_CA"
"positive","RT @servia_juan: #Horrormovies #Theexorcist Fifth film of my personal ten  horror movie sequels: \" Exorcist II. The Heretic\". Ok!...ok! It´…","LincolnFarish"
"positive","I liked a @YouTube video https://t.co/UkBB0UB2gC Spider-Man 2 - Movie Review","BobCatMan01"
"negative","@rednkridgerunr @BrletichDennis @Rambobiggs It was a bad movie, I tried to rate it on IMBD or whatever the site is… https://t.co/JClydR2w3T","thread_game"
"positive","RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…","ballyforevs"
"positive","RT @verge: A Star is Born proves some Hollywood stories are timeless for a reason https://t.co/y2l94HDahs https://t.co/a6U2GVj4di","charlievondevon"
"neutral","I admire the desire of a couple to tour the world to seek wisdom about our relationship with nature. But wasn't so… https://t.co/ZbZ5UqloAA","everyfilmneil"
"neutral","RT @FSView: 'Slice' Review: Chance the Rapper-turned-Actor embraces campy classics in 80s horror tribute: \n\nReview by Anthony Martinez (@am…","amrtnz_"
"neutral","This weeks movie review lineup! \n#thoroughbreds \n#extinction \n#theguernseyliteraryandpotatopeelpiesociety https://t.co/PrMlaaEuL5","2FeaturePreach"
"positive","RT @TalkiesNetwork: #AStarIsBorn Film Review | TIFF 2018 - \"Overall, this movie was an intense emotional journey with a lot to unpack. #Tal…","Stefani7616"
"positive","RT @NickMenakos: #AStarIsBorn Film Review | TIFF 2018 - \"Overall, this movie was an intense emotional journey with a lot to unpack. #Talkie…","Stefani7616"
"positive","RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…","THOUngi"
"neutral","Film Review - \"White Boy Rick\" https://t.co/6mHcfKXwwI","virtualnihilist"
"neutral","RT @BesottedGeekPod: Tune into #podcast 117 for our #JusticeLeague #drink recipes here:\nhttps://t.co/FzcyPMKZno\nOr read about 'em here:\nhtt…","MCVarietyHour"
"positive","What better #MondayMotivation than having finished one commission and started another right away? Now that Movie Sl… https://t.co/wrx56ACTV1","James_Corck"
