sentiment,text,user
"neutral","RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…","ICEfansArleneLD"
"negative","RT @vasudha_ET: And there are people who say caste doesn't matter in new India!\n\nFather was asking me to abort before they killed Pranay, s…","_Melodrama_"
"neutral","RT @ashiinu: so Caste drew me as a snek for snektember and i have a Problem so I needed to color it https://t.co/SlPGZWcpZm","KeyThunderpaw"
"positive","RT @scribe_it: During interrogation Amruthas father says \n“I am more concerned about my status in the society than my daughter. I am not wo…","amit_155"
"neutral","Have to give it to you @priyankac19 on your statement of accusing @BJP4India on the issue of dividing ppl on caste… https://t.co/b9L54r5Gcy","RampJay"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","Iam_Jitendra7"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","LionsMountainCh"
"positive","RT @scribe_it: During interrogation Amruthas father says \n“I am more concerned about my status in the society than my daughter. I am not wo…","najibfarooq"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","Justluvly101"
"positive","RT @scribe_it: During interrogation Amruthas father says \n“I am more concerned about my status in the society than my daughter. I am not wo…","bituu__"
"neutral","RT @dilip_0235: @ramsayz Ade caste Peru tho reservations enzoy chestu malli discrimination ledu ante elaaga? Ban caste based reservations a…","kranthireddy146"
"positive","RT @MailOnline: Indian husband is murdered in front of his pregnant wife in honour killing because he was from a lower caste https://t.co/9…","NJ_A_08"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","srimaddy666"
"positive","RT @devduttmyth: Despite their obvious dark side, u are allowed to speak about the positive aspects of Communism, Capitalism, Religion....b…","ilovemaper"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","GhantaSoma"
"negative","People who jugde others on CASTE, FAITH, NATIONALITY, POOR/RICH BLACK/WHITE are the WORST people down on earth.","nnaibBinTariq"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","loupierri"
"neutral","RT @Politis_fr: À lire : «La Caste», de @LaurentMauduit (@Ed_LaDecouverte), autrement dit la haute fonction publique, où «grâce aux pantouf…","Ed_LaDecouverte"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","MyBoyMadMax2019"
"neutral","@iam_thalapathy Caste 😂\n\nBike racer 😂","Vijay74164305"
"positive","RT @the_hindu: “I can’t live without him, but I will, for my baby, and to fight against the caste system. No one should experience this pai…","_Melodrama_"
"negative","RT @TRBRajaa: With his voice against caste system he spoke for almost all of India.\nWith his voice for #women he spoke for HALF THE WORLD !…","AjasLily"
"positive","RT @devduttmyth: Despite their obvious dark side, u are allowed to speak about the positive aspects of Communism, Capitalism, Religion....b…","abcense"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","Rajendar7676"
"neutral","RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…","Jeannie_Hartley"
"neutral","RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…","AfroStateOfMind"
"neutral","かわいいんじゃ https://t.co/hTkibLjz1h","caste_lowest"
"positive","RT @Navayan: Pranay, SC Mala, so called untouchable man and Amrutha a vyshya, so-called upper caste woman loved and married. Maruthi Rao, K…","_Melodrama_"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","V6Oliva"
"neutral","@leoxymoron @AlexisBraud Humour !\nEt puisque j'ai votre  attention, très belle émission hier sur le sujet (Les vert… https://t.co/5y2luJETc8","LeFilsDeStGarp"
"negative","@Shravan37184651 @HeroManoj1 On bull's eye bro.. Exactly.. Caste anedhi worst case but clear ga thelusthundi idhi s… https://t.co/ASeGH2zGPm","ChantiCognizant"
"neutral","@NewsFinance_fr Parfaitement! Vous êtes un média? On n'a pas le droit de critiquer votre caste? Vous êtes si intouc… https://t.co/sxadewspPU","adia66"
"positive","RT @scribe_it: During interrogation Amruthas father says \n“I am more concerned about my status in the society than my daughter. I am not wo…","_Melodrama_"
"neutral","caste topic ni parents topic medhaku diversion enduku bhayya 🙏🙏🙏🙏🙏 https://t.co/KvqYLQfgpI","ramusagar4NTR"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","HarishHMavericK"
"neutral","@vivek17b yes, the argument was that she had tried to speak over the words of ambedkar in annilation of caste and I… https://t.co/CvMDBJjEWK","soupykaur"
"neutral","(Aujourd'hui on sera tous d'accord pour dire que j'ai pas casté le spirit suffisamment fort hein)","LaurianeIpsum"
"neutral","RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…","LudovicSpeaks"
"neutral","RT @Freeindiansoul: RSS was in the quit India movement  difference being it was on the side of the British Empire\nTheir role was of informe…","moin_naz"
"positive","RT @MahilaCongress: Our heartfelt tributes to E.V. Ramasamy, a great social reformer, activist and politician, on his birth anniversary. Po…","s_prasant2001"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","Ray_Sims77"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","Mahendra_Tweetz"
"positive","@AzmiShabana @SRKFC1 @iamsrk Not only maharashtrians..\nGaneshji is God So Anyone can enjoy the festival ... It's no… https://t.co/sdD4fXQH6S","harsshshah9"
"positive","RT @scribe_it: Hey national channels - you held many prime time debates on “misuse” Sc ST act.\nNow after Telangana Dalit murder you’ve gone…","amit_155"
"positive","my family life could literally be the plot of a desi drama .. so nuanced so beautiful yet so tropey. social aspect… https://t.co/NHZROqAbWI","somuchmohabbat"
"positive","RT @PoMoGandhi: But this is not true Mr Bhagwat. @RSSorg appointees in MHRD are making sure visas are denied to foreign students who want t…","wrldrulerz"
"neutral","Necesito un estomago nuevo https://t.co/R7tdaCHOpt","Caste_Alan"
"neutral","RT @sampadscales: I only see that one leader who isn’t concerned about the caste or money &amp; dedicatedly working for my country’s economy an…","Kuhoo2014"
"negative","The 21st century may bring a new caste system, split into a plutocratic AI elite and the powerless struggling masse… https://t.co/QmE32BSYAM","TheHelenWang"
"neutral","RT @kimmaytube: Read this and get all into your feelings.\n\nDescendants of slaves to kingdoms IN west Africa are considered the *bottom* TOD…","meowwcydnee"
"negative","@devduttmyth I respected you till now,read you version of geeta too.But jotting down positives of caste system will… https://t.co/un5Uqagm7l","Logical76659057"
"neutral","RT @MaximeBernier: Heureux d’être de retour au Parlement non seulement en tant que député de Beauce, mais pour donner une voix aux Canadien…","SASgrafix"
"positive","He is not a father anymore; he is a criminal. He won't mind killing his own daughter as well.\n\nCaste system can tur… https://t.co/1ley6UdslG","TheNewAgeIndian"
"positive","Love is the most beautiful thing that can consume us. Be it your father, your caste or even whole of the human race… https://t.co/QemCQRMeq0","KaliGospel"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","SolarPowerEng"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","bill_8856"
"positive","RT @devduttmyth: Despite their obvious dark side, u are allowed to speak about the positive aspects of Communism, Capitalism, Religion....b…","fed_esha95"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","bandit301"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","alikhanrandy143"
"neutral","RT @Politis_fr: À lire : «La Caste», de @LaurentMauduit (@Ed_LaDecouverte), autrement dit la haute fonction publique, où «grâce aux pantouf…","JLacassagne"
"neutral","RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…","IAmChey_D"
"neutral","RT @BenNeethipudi: Intercaste marriage is not annihilation of caste when death is the price to be paid by Dalits. Intercaste relationship i…","shashikanth171"
"neutral","RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…","webreakchains15"
"positive","i went to a preppy private catholic hs in dc and i wish i could say i was surprised that this caste of rich entitle… https://t.co/jUh38uim5R","sloppityboppity"
"neutral","Wowww.. Bringing in caste to diss a movie..! https://t.co/jaQVFnMJlr","yourstrulyAbhi"
"neutral","RT @MaximeBernier: Heureux d’être de retour au Parlement non seulement en tant que député de Beauce, mais pour donner une voix aux Canadien…","nativekittens"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","MichelB71604563"
"neutral","@sriharshatumati @VamshiPandu1 @Shiva4Ntr @RaoGopalaRao_ @iambharatt Nenu ekkada Reservations kosam matladaledhu du… https://t.co/Hl8QKNls1y","Pradeep59797013"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","nativekittens"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","Ravikar43968388"
"negative","RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…","KambamSanjay"
"neutral","RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…","AaronTDotson"
"positive","RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…","nowhere192"
"neutral","RT @sampadscales: I only see that one leader who isn’t concerned about the caste or money &amp; dedicatedly working for my country’s economy an…","madhavi_writes"
"positive","RT @Navayan: An exclusive brahmin community real estate venture. For members of Brahmin community only.\n\nYeah yeah. There's no caste in Ind…","O_edipus"
"negative","Until, Indian society is going to behave in a mature manner, it's dangerous for Dalit boys to date Hindu/Muslim/Sik… https://t.co/c43MGiaVYp","TheNewAgeIndian"
"neutral","RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…","muhdee2009"
"negative","RT @gunjakapoor: Back from #Ujjain:\nThe upper caste anger is palpable on ground. While @INCIndia doesn't have a cadre, the incumbent @BJP4I…","RW_Athiest"
"neutral","RT @Bpro_info: 【NEWS】B-PROJECT『KING of CASTE 〜Sneaking Shadow〜 』\n雪広うたこ氏撮り下ろしビジュアルを公開しました。そして特設サイトも本日OPEN!!\nさらにAGF2018への出展も決定！\nhttps://t.co/…","Marrrrrinrin"
"negative","While we watched and was shocked by the bloody footsteps of that baby girl, it was and has been going on in our rea… https://t.co/UP7wkzVKCu","VinnyKV"
"neutral","RT @Fleek_Mag: #Miedo es el nombre que recibe la nueva pieza visual lanzada por @Caste93 desde su canal @VEVO_ESP. @outerspaceprod firma la…","outerspaceprod"
"negative","RT @taruns_: Pelli ki caste addu raakudadu antunnaru , Mari jobs/education ki reservation(caste) enduku ??\n\nNote : Im not Supporting any ca…","telugabbay"
"neutral","@Le_Figaro Les discours de vérité  de macron font scandales par contres les journalistes ont le droit d'etre injuri… https://t.co/clDfwQi8QC","DominiqueLocas1"
"neutral","Elite left liberals pontificate to Hindus about 'caste' &amp; 'Brahmin monopoly' yet practice a caste system of their o… https://t.co/6fsrBOltBI","Kalbhoja"
"neutral","暑いんじゃ","caste_lowest"
"positive","RT @AnaMyID: Pranay a Telangana Dalit Christian belonging to an 'untouchable' caste fell in love with Amrutha an UC vaishya, married her 3…","mukarram3"
