sentiment,text,user,,
neutral,"RT @John_Kass: Chicago's race for mayor &amp; the murder trial of police officer Jason Van Dyke.  In the universe of political Chicago, they ar…",JJHantsch,,
negative,RT @samregester: Our democracy is broken. Get vested interests out of our politics and close the revolving door. https://t.co/SmyapyCgJ8,costat_272,,
positive,RT @prasannavishy: Alliance Francaise accused of violating contract.  The linguo-cultural body gave in to campaign of calumny unleashed by…,Mithila1973,,
negative,RT @politicshome: John McDonnell swears loyalty to Jeremy Corbyn as he dismisses 'laughable' plot rumours\nhttps://t.co/L4hoN26AOO,fionalynas,,
negative,RT @davidvangogh: Amended headline: \Irresponsible hipster parents use 9 year old child as political pawn," with little care for her welfare…""",NikkiMu19831924,
neutral,"RT @Andrew_Adonis: This is shameful - shades of Orban, who Tory MEPs supported in the European Parliament this week alongside Latvian fasci…",ahimsaveganism,,
positive,"Nonetheless, in the event of Brexit plunging the UK into political uncertainty, the Labour Right clearly thought it… https://t.co/A25aA6bzH6",RJSHutton,,
positive,RT @swarupkdc: Indian National Congress is the 2nd most corrupt political party in the world as per-- Top 10 List of Most Corrupt Political…,GVRavindranath,,
positive,RT @demou_maria: Ok I dont usually rant but I have just had a govt paper  telling me after 20 years of teaching that I must be careful in h…,SvenRadio,,
positive,"\SHOCKA! Sen. Dicky Durbin just accidentally proved timing on Christine Blasey Ford’s accusations IS absolutely pol… https://t.co/7WKUdDgvQn""",Rage_and_War,,
neutral,Congolese Music Artists Prepare to Get Political https://t.co/GcloroOT3w #Music #News,SugoMusicGroup,,
neutral,The Tiny Blond Bible Teacher Taking on the Evangelical Political Machine https://t.co/XNSC5bbO2u via @TheAtlantic… https://t.co/ICW8y90wUG,The_News_DIVA,,
neutral,RT @Rizwana_kareem: Ghanem al-Dosari was targeted for his human rights work and political views about the Gulf country Saudi Arabia. He has…,telegrampiar,,
positive,RT @pewinternet: Digitally savvy Americans are much more likely to correctly identify factual and opinion statements https://t.co/ze3MZmeBy…,GaryAckermanPhD,,
neutral,RT @c_aashish: Travails of non-WhatsApp political tech interventions -\n\nCongress launched Shakti app asking party workers were to enrol cit…,OmShiv108,,
positive,RT @JLD38e88: @Happy2BMom1 @rmack2x @1Romans58 @AnthemRespect here's a perfect example of what people are willing to do to bring down polit…,rmack2x,,
positive,RT @spaceangel1964: **CALL TO ACTION** \nThis Sunday GET TO LIVERPOOL!\n\nWe need to put pressure on @UKLabour to allow a vote on a #PeoplesVo…,ReplabJohn,,
negative,RT @DLeonhardt: Have you heard the one about how both political parties have moved to the extremes of the political spectrum? It's wrong. T…,ayawill,,
positive,RT @rightsmetrics: Great short feature on the HRMI team at @universityofga and how they figured out how to measure civil and political righ…,FriendOfFacts17,,
positive,"RT @MrTCHarris: \The Labour grassroots is overwhelmingly pro-EU...\"" Sure"," and that's why they voted - TWICE - for a leader who has consiste…""",mrmarkmillar,
positive,Boris Johnson: #Brexit border backstop plan will be spectacular political car crash https://t.co/rPJ0FF0OsX https://t.co/vW2DBmc3sI,British_Exit,,
neutral,@SenSchumer So WaPo has never lied to the American people to push a political agenda? Now THAT is news.,TheW0RKH0RSE,,
positive,@Happy2BMom1 @rmack2x @1Romans58 @AnthemRespect here's a perfect example of what people are willing to do to bring… https://t.co/enqNWAskxP,JLD38e88,,
neutral,"RT @fr_pwest: Political power emanates from God. Government was introduced by divine law, but the divine law has given this power to no par…",csekstrom,,
positive,"RT @JeromeTaylor: Well, multi-party democracy under the Thailand’s junta is clearly going to be grand \nhttps://t.co/e7YgEZETdW",rascottdotcom,,
positive,Thanks Alt News. Keep up the good work. This is the worst kind of negative agenda of any political party and clearl… https://t.co/DjkjPoh2bo,kaminibobde,,
neutral,The Emmys Should Be Political https://t.co/UV8m10Ft5n via @TheAtlantic #news https://t.co/9EBdYj4AoM,The_News_DIVA,,
positive,RT @RedTRaccoon: Willie Nelson Will Headline a Rally for Beto O’Rourke\n\nThe end-of-September event is the first time Nelson has ever perfor…,MPierce47,,
neutral,RT @IKETIS2: A news study reveals how political interference in newsrooms is distorting refugee coverage. #migration #refugees @refugeesdee…,maria_sakellari,,
negative,"RT @nwbtcw: Stop saying \populism\"" when you mean fascism. \""Nationalist popopulism\"" is literally just old school fascism"," not some new polit…""",burevestnik3,
neutral,RT @truahrabbis: We are horrified by this murder of a father of four. No political goal justifies terrorism. ברוך דיין אמת https://t.co/lBi…,jewessspam,,
neutral,"RT @LJT_is_me: Thread by @ThomasWictor: \(1) I missed this one! https://t.co/eFpXBE2XFM… (2) \""In 2011"," Salazar was arrested for impersonati…""",gray95537361,
positive,Here's the good news for the GOP: the only path that leads to a good political outcome also happens to be the *righ… https://t.co/iIBB6QnXNM,mdavidbrown,,
positive,RT @RitaPanahi: Many in the media and political class pander to these intellectually infirm fringe-dwellers whose views are also prevalent…,FiddlerForest,,
positive,"RT @vivekagnihotri: This is the first time in 70 yrs that Pakistan is not in main news. Since the sending off of Pakistani actors, Pakistan…",Gaurav_Jai_Hind,,
positive,@dwppressoffice @itvnews https://t.co/jvDvkYKpUW \thousands more left in limbo, falling into limbo," heading to the… https://t.co/JcMdSa7ZTI""",BandSnoLists
positive,RT @swarupkdc: Indian National Congress is the 2nd most corrupt political party in the world as per-- Top 10 List of Most Corrupt Political…,ARAshok19,,
neutral,RT @c_aashish: Travails of non-WhatsApp political tech interventions -\n\nCongress launched Shakti app asking party workers were to enrol cit…,singh_ghanta,,
