sentiment,text,user
"neutral","RT @suniljha899: जिनकी फटी वे रो रहे हैं ।।\n#नैतिक_मूल्य \nफ़्लॉप नहीं, हिट हुई है नोटबन्दी - \n@anilpusadkar @nagendrapathak @barotchetan99…","babyparamjeet"
"neutral","RT @AB_BJP: SwachhBharat\nके\nJanDhan\nमें\nMudra\nका मिलनकर\nMakeInIndia\nके जरिये\nAccheDin\nआनेलगे तब कालेधन पर Demonetization\nकी लातके साथही\nSur…","SureshK65221545"
"positive","RT @victor_vijeet: Baba is so cunning &amp; clever he won't say  that GST &amp; demonetization have left economy in doldrum. He has pocketed subsid…","TheAnita_K"
"negative","RT @tv9gujarati: Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/jglfMu4z5L\n#TV9News https://…","URSH93"
"negative","@advmajeedmemon Basic question... irrespective of price of the petrol and diesel why prices of all other commoditie… https://t.co/2NA7yxoi36","RRnirav"
"neutral","RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \"Sri Narendra Modi Ji'' on his bday by releasing his biopi…","vijay_thug"
"negative","Despite #demonetization, Fake currency notes  are circulating in markets.\nVIDEO: https://t.co/jglfMu4z5L\n#TV9News https://t.co/S5IcQQzTMF","tv9gujarati"
"neutral","RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \"Sri Narendra Modi Ji'' on his bday by releasing his biopi…","imsaurav55"
"neutral","@PMOIndia @narendramodi #demonetization  \n#RafaleScam  \n#bahuthuimahangaikimaar   \n#JabJaitleyMetMallya… https://t.co/d7ZkXYo6qd","CorruptIndian2"
"neutral","RT @devalgp: He has made India an emerging giant by bringing the concept of digitalization, DBTs, application services, one window concepts…","BChaudhary10dec"
"negative","RT @top_gun55: @RahulGandhi Incidents of lynching in India were due to anger emanating from joblessness and “destruction” of small business…","GeorgekurianINC"
"neutral","RT @AB_BJP: SwachhBharat\nके\nJanDhan\nमें\nMudra\nका मिलनकर\nMakeInIndia\nके जरिये\nAccheDin\nआनेलगे तब कालेधन पर Demonetization\nकी लातके साथही\nSur…","tmpaton1"
"neutral","RT @AB_BJP: SwachhBharat\nके\nJanDhan\nमें\nMudra\nका मिलनकर\nMakeInIndia\nके जरिये\nAccheDin\nआनेलगे तब कालेधन पर Demonetization\nकी लातके साथही\nSur…","JPrabaker"
"neutral","What about #Demonetization, #GST, #RafaleDeal, #MallyaGate???!!! https://t.co/oRMqsKRP28","jawadtweets"
"positive","RT @victor_vijeet: Baba is so cunning &amp; clever he won't say  that GST &amp; demonetization have left economy in doldrum. He has pocketed subsid…","pathan_modassar"
"neutral","RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…","vijayshirvalkar"
"neutral","@Nidhi #demonetization \n#RafaleScam \n#bahuthuimahangaikimaar  \n#JabJaitleyMetMallya  \n#BetiBachaoFailed… https://t.co/1eHVplSPsz","CorruptIndian2"
"neutral","RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…","R0B1NYJ"
"positive","RT @PremCharaNN: MD Tho First 50c,60c,70c Ichina\n\nNew Drctr Tho Racha Lanti Disaster Talk Mve Tho 1st Day,1stWeek Kotti  AllTym Top3 Petina…","rchinta_pspk"
"neutral","RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…","MMadhukar1978"
"neutral","RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…","Fakeliberal001"
"negative","RT @PrashantxMishra: Demonetization: Failed  ❌\nGST: Failed  ❌\nPetrol Price: Failed ❌\nCorruption: Failed  ❌\nRupee: Failed  ❌\nJobs: Failed  ❌…","Subhashitani1"
"negative","RT @PrashantxMishra: Demonetization: Failed  ❌\nGST: Failed  ❌\nPetrol Price: Failed ❌\nCorruption: Failed  ❌\nRupee: Failed  ❌\nJobs: Failed  ❌…","bhakt2019"
"positive","Baba is so cunning &amp; clever he won't say  that GST &amp; demonetization have left economy in doldrum. He has pocketed s… https://t.co/E4raU143Yh","victor_vijeet"
"neutral","RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…","paaruni"
"neutral","RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…","rockybolbia"
"negative","RT @_vasireddy: There are no \"their facts\" and \"our facts\". Fact is Demonetization is a failure w.r.t. the stated objectives. https://t.co/…","aravindgogineni"
"neutral","RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…","karnvahi"
"negative","RT @India_Policy: Why I'll vote for Modi in 2019 6/n\n-Formalization of economy thru Demonetization and GST; squeezing out black money\n-Init…","NicksGAR11"
"neutral","RT @AB_BJP: SwachhBharat\nके\nJanDhan\nमें\nMudra\nका मिलनकर\nMakeInIndia\nके जरिये\nAccheDin\nआनेलगे तब कालेधन पर Demonetization\nकी लातके साथही\nSur…","Tv15676764"
"neutral","RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…","DomMeinrad"
"positive","@narendramodi - Happy birthday sir 💐💐💐💐🎂\nWishing you many many happy returns of the day to do cleaner &amp; greener ind… https://t.co/dE5Jb8YaDq","AnasingarajuM"
"neutral","RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…","amethi_voter"
"negative","RT @India_Policy: Why I'll vote for Modi in 2019 6/n\n-Formalization of economy thru Demonetization and GST; squeezing out black money\n-Init…","dubbak_ramesh"
"neutral","RT @Humorist_Joker: Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2014…","KING_OF_TROLL_"
"neutral","Manmohan Singh Rule : \n\nGDP from 8% to 4.5%  from 2004 to 2014.\n\nNarendra Modi Rule :\n\nGDP from 4.5% to 8.2% from 2… https://t.co/hRxl8tS91a","Humorist_Joker"
"negative","@KPadmaRani1 @ANI Actually DEMO for the common ppl! It would be stupid to think that #NaMo Cronies shall be affected with Demonetization!","anup071254"
"positive","@narendramodi - Happy birthday sir... Wishing you many many happy returns of the day...💐💐💐💐🎂💐💐💐💐\nWe have done a sma… https://t.co/wQC0SlIVRd","AnasingarajuM"
"neutral","RT @Yganesh0208: #ThugsOfHindostan makers giving tribute to india's biggest thug \"Sri Narendra Modi Ji'' on his bday by releasing his biopi…","AamirTrends"
"negative","RT @PragmaticN: @Swamy39 I am sorry but now U r risking your credibility, Sir; these explanations offered on behalf of Modi appear like lam…","iconoklastik"
"neutral","He has made India an emerging giant by bringing the concept of digitalization, DBTs, application services, one wind… https://t.co/XJaNmG4MkV","devalgp"
"neutral","RT @UPSCIASEXAMS: RBI Report on Demonetization in Hindi | Report of RBI on Demonetization | KARDAM RAVAL: https://t.co/TosVbqy6Fj via @YouT…","Sak_Shivam_U"
"positive","@wm_mmgi @AnupamPKher @narendramodi 👍 We pray that, at least his future decisions should be successful, unlike his… https://t.co/yfkZFpZyy9","JioInst_Eminent"
"negative","Indian Demonetization Failed Even to Create a Savings Culture - Bloomberg https://t.co/GR9epkxW0x @Swamy39","SwamyChronicle"
"negative","The data on the false claim on substantial growth on direct tax collection and number of people in tax net thanks t… https://t.co/WlRspSHFcq","MOOC5"
"neutral","RBI Report on Demonetization in Hindi | Report of RBI on Demonetization | KARDAM RAVAL: https://t.co/TosVbqy6Fj via @YouTube","UPSCIASEXAMS"
"neutral","@dna Demonetization?","ShaikhNabi1"
"neutral","RT @CallMeKevin1811: @LoganPaul My Neurax Worm, called Demonetization just lost the Crippling Depression scenario in Plague Inc.","itsmichael_here"
"positive","RT @Vishesh4: This is exactly how the black money too was 'swept' during demonetization. After trying hard through the available instrument…","dsmalik_inc"
"neutral","RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…","1975Raman"
"neutral","RT @MahapatPravat: Modi will be remembered for the voodoo economics of the dodgy demonetization.Shah&amp; Modi will be remembered for reducing…","animeshynr"
"neutral","RT @ShobhaBJP: Demonetization\nGST\nMudra Yojana\nRural Electrification\nJan Dhan\nSkills India\nStart up\nMake In India\nSwachh Bharat\nKrishi Sinc…","NarayananPH"
"neutral","'നോട്ട് നിരോധനം അംബാനിയെയും അദാനിയെയും അറിയിച്ചിരുന്നു'; ബിജെപിയെ ഞെട്ടിച്ച് പാര്‍ട്ടി എംഎ https://t.co/Q36vK9aymu","VNAMPADY"
"negative","@MaheshJoshi_MJ @Swamy39 @jagdishshetty @vhsindia #Demonetization failed, #GST also failed, But economy is booming,… https://t.co/dkEfmfviW2","MihirJhaSG"
"negative","RT @KoomarShah: Why Demonetization failed?\nBJP - Cos he is Pappu\n\nWhy No GDP Growth?\nBJP - Cos he is Pappu\n\nWhy No Jobs?\nBJP - Cos he is Pa…","ChetryDebi"
"positive","@Abuchiha_7 @anant_d @Ibrahim_Adam5 @RightistSingh Read clearly before replying, we were discussing about Demonetiz… https://t.co/N38UVXg2hf","IAmShailendraP"
