sentiment,text,user,,
neutral,RT @TheWatchAndTalk: ICYMI: Listen to our podcast review of ALPHA!\n\nhttps://t.co/XB6sb9aa8I\n\n#Movie #Podcast #MoviePodcast #Film #FilmPodca…,TheJQWay,,
neutral,RT @SurviTeensNtots: Last night. Interviewed the fabulous and always great @jamieleecurtis the first thing she said was that she read my re…,ellisromance,,
positive,"RT @TheWatchAndTalk: ICYMI: Listen to our podcast review of THE HAPPYTIME MURDERS, as well as our top 5 WORST Comedy films of all time!\n\nht…",TheJQWay,,
positive,RT @factory_film: WELCOME TO CURIOSITY: @CuriosityMovie now available on VOD in North America on #iTunes : https://t.co/Is1dBDNrCR. WATCH!…,diane_b12,,
negative,"RT @CCinemaPodcast: Collateral Cinema Ep 00: Takashi Miike’s Audition-Our Pilot episode, #podernfamily; listen now, then rate /review us! #…",TheJQWay,,
neutral,RT @AmazingNerdShow: This week we review #TheNun &amp; talk #wwe #HellInACell! We talk the rumored Jordan Peele #Candyman movie &amp; #SpiderManPs4…,InvasionRemake,,
positive,The New 'Halloween' Channels the Original and It's Actually a Bloody Good Time https://t.co/FZjMTCGHXl,HelloHorrorLit,,
positive,"RT @CCinemaPodcast: Collateral Cinema Ep 08: David Lynch’s Eeaserhead-We were profoundly affected by this film; listen now, then rate/revie…",TheJQWay,,
positive,"RT @CCinemaPodcast: Collateral Cinema Ep 03: Ilya Naishuller’s Hardcore Henry-This one was interesting; listen now, then rate/review us! #I…",TheJQWay,,
positive,turning point movie review: https://t.co/bvjf7tWOGV via @YouTube,gujratartisnews,,
negative,@anyataylorsjoy watch movie bitches review it,mulholIandr,,
neutral,"#REVIEW “Puzzle,” a movie about competitive puzzling, is one of a kind. Inspired by the 2009 Argentinian movie “Rom… https://t.co/KsImbj9oZe",IthacanOnline,,
positive,I liked a @YouTube video https://t.co/CyXd4lXV7P The Predator - Movie Review,chris_potter365,,
positive,Check out Kyle and I's review of the new Movie Searching! Critics are raving and so are we! Check it out! :) https://t.co/xGp8HMbDOY,ajvweaver7,,BandSnoLists
positive,I liked a @YouTube video https://t.co/1l3Xjg8SsZ The Predator - Movie Review,gaminghero1402,,
positive,RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…,nics525,,
positive,@LMKMovieManiac Padathuku poi paithiyam pidithathu than unmai.Raja raja nu kuptu makkal ana engalai konnutanunga. I… https://t.co/N5NoK6s9ut,suresh61092,,
positive,"RT @GamalielPeralez: Finally finished this book, Ghost Walk by Heather Graham. I'm kind of considering doing a review on it, maybe not. Got…",GeekyBugle01,,
positive,"RT @mims_words: What is there to say about the latest movie in the Predator franchise, The Predator? Well, if they were going to go the ful…",jonmcbrine,,
positive,https://t.co/x6SWuszhLm\nGuys  do catch up our review on #ShailajaReddyAlludu telugu movie on YouTube .Pls do like a… https://t.co/X0zkrTOd5E,FanaticsCinema,,
positive,I liked a @YouTube video https://t.co/HZfUNxehqM Little Dragon Maiden Kung Fu Movie Review,tevya_smolka,,
positive,I liked a @YouTube video https://t.co/ycjvAewVdI The Predator &amp; A Simple Favor - Movie Review Talk with Scott Mantz,Erik_GC82,princesscinemas,
neutral,It has begun. But which movie am I watching first? You’ll have to find out when I share the review. 😈\n\n“Screams to… https://t.co/u3lIQtnUsm,BigBrother1988,,
positive,RT @kahrluhmei: This was the last paragraph of my BALU review in FB 2 years ago. 😭 Ang apt lang for this moment. Thank you Pilipinas for gi…,bernardoxford25,,
positive,I liked a @YouTube video https://t.co/ML5iLCkTYb The Predator (2018) - Movie Review (Spoiler Free),AcEFilmsinc,,
positive,RT @Sassy_Brit: #Review \If you are looking for an expertly crafted mystery/thriller," pop some popcorn &amp; read this novel from cover to cove…""",,
neutral,RT @HatHole: New VHS Review! Silver Bullet (1985) 80s Horror Werewolf movie! https://t.co/lql6fB0Gms,Sleven324,,
neutral,"\In Mistletoe captured my heart from the first page. Has this book been made into a Hallmark Christmas movie yet?\""… https://t.co/xtzsopAqq9""",tammylbailey,,
positive,Review of Blockbusters New: Online Movie Rental Service https://t.co/PvgKAJ4gZN https://t.co/nIP8B3qieA,WindowOfWorld1,,
positive,RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…,jayeligoyo,,
neutral,"RT @RekomenByAsrul: RISE: INI KALILAH is a love letter for all Malaysians🇲🇾. Well, at least for Malaysians who voted for Pakatan Harapan in…",ec4h_,,
positive,The Amazing Spider-Man (2012) - Movie Review\n#spiderman #andrewgarfield #marcwebb #emmastone #sallyfields… https://t.co/qCVgjsk0dc,A_G_Ferguson,,
positive,RT @BusinessDayNg: Watch the movie review week for the week. It is called Seven and a Half Dates starring @mercyjohnsonokojie @solasobowale…,lindaOchugbua,,
negative,So @VenomMovie is out soon... what I wouldn’t give for an exasperated review of the flick by @Confused_Dude and… https://t.co/XbdXIrg6LA,mikegbell,,
positive,RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…,pinknlov,BWLitherland,
neutral,"RT @VanityFair: Steve McQueen! Viola Davis! Gillian Flynn! All are in fine form in this propulsive, highly anticipated thriller #Widows htt…",BobbyRiversTV,,
positive,RT @kahrluhmei: This was the last paragraph of my BALU review in FB 2 years ago. 😭 Ang apt lang for this moment. Thank you Pilipinas for gi…,Sapphire1c3,,
positive,RT @kahrluhmei: This was the last paragraph of my BALU review in FB 2 years ago. 😭 Ang apt lang for this moment. Thank you Pilipinas for gi…,bibangers,,
positive,RT @TheWatchAndTalk: ICYMI: Listen to our podcast review of THE LITTLE STRANGER\n\nhttps://t.co/GlAcgkZtiQ\n\n#Movie #Podcast #MoviePodcast #Fi…,TheJQWay,,
positive,@WMDogma @mistermegative @the_moviebob @GreyTheTick I'd never heard of the movie until we got a screener of it for… https://t.co/o9djFtnDrE,ajohnagnello,,
negative,RT @CriticMishra: Final Score Movie Review.\n\nhttps://t.co/zl2BdlYka5\n\n#critic #moviereview #filmreview #moviecritic #finalscore #finalscore…,TheJQWay,,
neutral,RT @PotterAngel24: My two cents on #GoyoAngBatangHeneral ^_^ \n#moviereview\n#Goyo\n\nhttps://t.co/HT5JQyLRog,RenzyDedios,,
neutral,RT @TheWatchAndTalk: Listen to our podcast review of THE LITTLE STRANGER\n\nhttps://t.co/GPKuP8iGSu\n\n#Movie #Podcast #MoviePodcast #Film #Fil…,TheJQWay,,
neutral,RT @BesottedGeekPod: Tune into #podcast 117 for our #JusticeLeague #drink recipes here:\nhttps://t.co/FzcyPMKZno\nOr read about 'em here:\nhtt…,WLImbalance,,
negative,"RT @lousnews23: The Green Lantern Movie, Was It Really That Bad? ~ Film Review #Filmreview #Greenlantern #RyanReynolds https://t.co/8MdaC6L…",TheJQWay,,
neutral,@NichNew I read a review of that movie that it wasn’t all that life affirming. I’m sorry it brought up all that tra… https://t.co/6zqjctjfzx,LASbauer,,
negative,RT @TheWatchAndTalk: Listen to our podcast review of THE LITTLE STRANGER\n\nhttps://t.co/hpEfHZLDpD\n\n#Movie #Podcast #MoviePodcast #Film #Fil…,TheJQWay,,
negative,"RT @OC_Movies: Our reviewer @aDreamofHome spends some time with My Pet Dinosaur, a review - Kids, A Dinosaur And A Small Town - OC Movie Re…",TheJQWay,,
negative,‘Lizzie’ review: Bringing context to a gruesome story https://t.co/l9OPT9wA5N via @amNewYork,denisohareOnFB,,
negative,RT @rkcpictures: Read what Times of India reviewed the Gujarati Film Lamboo Rastoo.\nRead here: https://t.co/zPZ0FmkeLB \n #RKCMotionpictures…,TheJQWay,,
negative,RT @OC_Movies: [Cargo] Review - Trapped In A Cargo Hold With Just A Phone - OC Movie Reviews https://t.co/vfHxBZpqr1 #MovieReview #FilmRevi…,TheJQWay,,
neutral,RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…,gracielovesKN,,
negative,送给我心中的爱情和理想 (评论: 天盛长歌) https://t.co/2KVJ3LyJ2M https://t.co/t8B4fOdYnl,n50axrIf21sEChU,,
positive,"Lady Gaga is really that good, and 4 more things to know about 'A Star is Born' https://t.co/rTkJnVyjKK https://t.co/x1ZuvKYlgh",SteveZeitch,,
neutral,I liked a @YouTube video https://t.co/Lr154rHrFe The Predator (2018) - Movie Review,DopeDeDark,,
positive,"review pagtapos nood ng movie, edi wala din 😂🤦‍♀️",heeyliah,,
positive,RT @AmazingNerdShow: This week we review #TheNun &amp; talk #wwe #HellInACell! We talk the rumored Jordan Peele #Candyman movie &amp; #SpiderManPs4…,MovieDateNight,,
neutral,RT @EdsFilmicForays: #IFeelPretty - #AmySchumer rocks - but does the movie? https://t.co/NkapVqeNCa … … #MichelleWilliams #RoryScovel #Movi…,TheJQWay,,
neutral,RT @mrstephen_bcuk: Movie review: Violent 'Predator' sequel has plenty of action but could use a little Arnold :: https://t.co/7SYQDoN5AS h…,TheJQWay,,
neutral,RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…,jmdm_kathniel,,
negative,RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…,baldago_liberty,,
positive,"RT @lousnews23: The Green Lantern Movie, Was It Really That Bad? The Film Review!! #greenlantern #Filmreview \n\nhttps://t.co/mwwuq20xrY http…",TheJQWay,,
positive,"RT @Reelreviewer: #RosamundPike and #DavidOyelowo star in the #interracial period #romance  #AUintedKingdom, showing on @SkyCinema #Select…",TheJQWay,,
negative,RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…,ksimple143,,
neutral,RT @factory_film: WELCOME TO CURIOSITY: @CuriosityMovie now available on VOD in North America on #iTunes : https://t.co/Is1dBDNrCR. WATCH!…,CuriosityMovie,,
positive,New Review from Archer Avenue!\nYou've never been cooler than Luke.\nMovie Review - #CoolHandLuke\nhttps://t.co/dOgWrwT8xe,OlieCoen,,
positive,I liked a @YouTube video https://t.co/9UWrekJN5S WHITE BOY RICK MOVIE REVIEW 2018,charles_leroy,,
positive,I've just posted a new blog: 🎥 Movie in Cinema Κριτική: Η Καλόγρια (The Nun) - (2018)  https://t.co/t1pdrvscni,Maria_ParaskA,,
positive,One of the most stupid decisions regarding movies today is the fact that The Nun is rated R for being “scary”. Fun… https://t.co/Pi30Ufumg2,Movie_Review_CA,,
positive,"RT @servia_juan: #Horrormovies #Theexorcist Fifth film of my personal ten  horror movie sequels: \ Exorcist II. The Heretic\"". Ok!...ok! It´…""",LincolnFarish,,
negative,I liked a @YouTube video https://t.co/UkBB0UB2gC Spider-Man 2 - Movie Review,BobCatMan01,,
positive,"@rednkridgerunr @BrletichDennis @Rambobiggs It was a bad movie, I tried to rate it on IMBD or whatever the site is… https://t.co/JClydR2w3T",thread_game,,
positive,RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…,ballyforevs,,
negative,RT @verge: A Star is Born proves some Hollywood stories are timeless for a reason https://t.co/y2l94HDahs https://t.co/a6U2GVj4di,charlievondevon,,
positive,I admire the desire of a couple to tour the world to seek wisdom about our relationship with nature. But wasn't so… https://t.co/ZbZ5UqloAA,everyfilmneil,,
positive,RT @FSView: 'Slice' Review: Chance the Rapper-turned-Actor embraces campy classics in 80s horror tribute: \n\nReview by Anthony Martinez (@am…,amrtnz_,,
neutral,This weeks movie review lineup! \n#thoroughbreds \n#extinction \n#theguernseyliteraryandpotatopeelpiesociety https://t.co/PrMlaaEuL5,2FeaturePreach,,
neutral,RT @TalkiesNetwork: #AStarIsBorn Film Review | TIFF 2018 - \Overall," this movie was an intense emotional journey with a lot to unpack. #Tal…""",,
neutral,RT @NickMenakos: #AStarIsBorn Film Review | TIFF 2018 - \Overall," this movie was an intense emotional journey with a lot to unpack. #Talkie…""",,
positive,RT @mangyanblogger: Here's @LionhearTVNet 's honest review of @bernardokath @imdanielpadilla 's #TheHowsOfUs https://t.co/HnoE55Ie3t @StarC…,THOUngi,,
positive,"Film Review - \White Boy Rick\"" https://t.co/6mHcfKXwwI""",virtualnihilist,,
positive,RT @BesottedGeekPod: Tune into #podcast 117 for our #JusticeLeague #drink recipes here:\nhttps://t.co/FzcyPMKZno\nOr read about 'em here:\nhtt…,MCVarietyHour,,
neutral,What better #MondayMotivation than having finished one commission and started another right away? Now that Movie Sl… https://t.co/wrx56ACTV1,James_Corck,,
neutral,RT @UpendraRLSP: My heartfelt #tributes to #Periyar E.V. Ramasamy Ji on his Birth Anniversary today. He was a revolutionary social activist…,gauriaman19,,
positive,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",TomKillinIt,,
positive,RT @WWWpierreWWW: Ceux qui ont désormais le + de surface médiatique en France pour propager en toute impunité la peur et la haine de l'autr…,ayyacho,,
positive,just bumped into our airbnb owner and had a fun game of racist bingo!!\n\n“ooh that’s an unusual name” ✅\n“oh are you… https://t.co/R1E8TCgWkP,bb_almond,,
neutral,RT @thewire_in: Dalit man killed allegedly by pregnant wife’s Vaishya family in Telangana  https://t.co/vHeO3f4klT | @kartheek777 https://t…,anilk2100,,
positive,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,klvrajesh,,
positive,Man hacked to death in 'honour killing' by 'member of wife's family because he was from lower caste' https://t.co/xMd1tUqp0F,Bettyan66167775,,
negative,RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…,crazygirrl,Stefani7616,
neutral,@sriharshatumati @VamshiPandu1 @Shiva4Ntr @RaoGopalaRao_ @iambharatt And ippudu jaruguthunnavi ani oka caste ni ink… https://t.co/Mfm8dOTu2t,Pradeep59797013,Stefani7616,
neutral,RT @PoMoGandhi: But this is not true Mr Bhagwat. @RSSorg appointees in MHRD are making sure visas are denied to foreign students who want t…,Tamizh_Muttley,,
neutral,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",robillardrandy1,,
positive,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,praveen53893616,,
positive,"RT @PoMoGandhi: My British student applied for a visa 10 months ago to study the role of caste, gender and other social networks in determi…",Tamizh_Muttley,,
negative,"RT @the_hindu: “I can’t live without him, but I will, for my baby, and to fight against the caste system. No one should experience this pai…",nehaali111,,
negative,RT @BreeNewsome: There's not really such a thing as race-neutral class in racism. Race was constructed to create an ownership class &amp; a sla…,ICEfansArleneLD,,
positive,"RT @vasudha_ET: And there are people who say caste doesn't matter in new India!\n\nFather was asking me to abort before they killed Pranay, s…",_Melodrama_,,
neutral,RT @ashiinu: so Caste drew me as a snek for snektember and i have a Problem so I needed to color it https://t.co/SlPGZWcpZm,KeyThunderpaw,,
negative,RT @scribe_it: During interrogation Amruthas father says \n“I am more concerned about my status in the society than my daughter. I am not wo…,amit_155,,
neutral,Have to give it to you @priyankac19 on your statement of accusing @BJP4India on the issue of dividing ppl on caste… https://t.co/b9L54r5Gcy,RampJay,,
positive,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,Iam_Jitendra7,,
neutral,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",LionsMountainCh,,
negative,RT @scribe_it: During interrogation Amruthas father says \n“I am more concerned about my status in the society than my daughter. I am not wo…,najibfarooq,,
positive,"RT @MaximeBernier: As Parliament resumes today, I am proud to be back not just as the Member for Beauce, but as the voice of Canadians look…",Justluvly101,,
positive,RT @scribe_it: During interrogation Amruthas father says \n“I am more concerned about my status in the society than my daughter. I am not wo…,bituu__,,
positive,RT @dilip_0235: @ramsayz Ade caste Peru tho reservations enzoy chestu malli discrimination ledu ante elaaga? Ban caste based reservations a…,kranthireddy146,,
positive,RT @MailOnline: Indian husband is murdered in front of his pregnant wife in honour killing because he was from a lower caste https://t.co/9…,NJ_A_08,,
neutral,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,srimaddy666,,
positive,"RT @devduttmyth: Despite their obvious dark side, u are allowed to speak about the positive aspects of Communism, Capitalism, Religion....b…",ilovemaper,,
negative,RT @HeroManoj1: Anyways ... signing off for the day ... Congrats to all the caste fanatics who helped killing #Pranay ... Remember one thin…,GhantaSoma,,
